Date,T2M
2019/08/24 08:59:57,35.44
2019/08/24 09:59:57,36.63
2019/08/24 10:59:57,37.37
2019/08/24 11:59:57,37.72
2019/08/24 12:59:57,37.55
2019/08/24 13:59:57,36.81
2019/08/24 14:59:57,36.33
2019/08/24 15:59:57,35.93
2019/08/24 16:59:57,34.83
2019/08/24 17:59:57,32.65
2019/08/24 18:59:57,31.08
2019/08/24 19:59:57,30.02
2019/08/24 20:59:57,29.11
2019/08/24 21:59:57,28.3
2019/08/24 22:59:57,27.63
2019/08/24 23:59:57,27.1
2019/08/25 00:59:57,26.69
2019/08/25 01:59:57,26.36
2019/08/25 02:59:57,26.16
2019/08/25 03:59:57,26.05
2019/08/25 04:59:57,25.98
2019/08/25 05:59:57,26.48
2019/08/25 06:59:57,27.6
2019/08/25 07:59:57,29.06
2019/08/25 08:59:57,30.23
2019/08/25 09:59:57,30.98
2019/08/25 10:59:57,31.22
2019/08/25 11:59:57,31.17
2019/08/25 12:59:57,31.03
2019/08/25 13:59:57,30.87
2019/08/25 14:59:57,30.77
2019/08/25 15:59:57,30.46
2019/08/25 16:59:57,29.72
2019/08/25 17:59:57,28.4
2019/08/25 18:59:57,27.96
2019/08/25 19:59:57,27.56
2019/08/25 20:59:57,27.21
2019/08/25 21:59:57,26.83
2019/08/25 22:59:57,26.49
2019/08/25 23:59:57,26.19
2019/08/26 00:59:57,25.93
2019/08/26 01:59:57,25.73
2019/08/26 02:59:57,25.65
2019/08/26 03:59:57,25.64
2019/08/26 04:59:57,25.63
2019/08/26 05:59:57,26.05
2019/08/26 06:59:57,26.8
2019/08/26 07:59:57,28.12
2019/08/26 08:59:57,29.66
2019/08/26 09:59:57,30.76
2019/08/26 10:59:57,31.3
2019/08/26 11:59:57,31.7
2019/08/26 12:59:57,32.28
2019/08/26 13:59:57,32.82
2019/08/26 14:59:57,32.99
2019/08/26 15:59:57,32.48
2019/08/26 16:59:57,31.45
2019/08/26 17:59:57,29.94
2019/08/26 18:59:57,29.65
2019/08/26 19:59:57,29.49
2019/08/26 20:59:57,29.05
2019/08/26 21:59:57,28.3
2019/08/26 22:59:57,27.52
2019/08/26 23:59:57,26.94
2019/08/27 00:59:57,26.48
2019/08/27 01:59:57,26.13
2019/08/27 02:59:57,25.8
2019/08/27 03:59:57,25.52
2019/08/27 04:59:57,25.48
2019/08/27 05:59:57,26.83
2019/08/27 06:59:57,29.34
2019/08/27 07:59:57,31.59
2019/08/27 08:59:57,32.92
2019/08/27 09:59:57,34.05
2019/08/27 10:59:57,34.88
2019/08/27 11:59:57,35.32
2019/08/27 12:59:57,35.51
2019/08/27 13:59:57,35.39
2019/08/27 14:59:57,35.23
2019/08/27 15:59:57,34.48
2019/08/27 16:59:57,33.19
2019/08/27 17:59:57,31.26
2019/08/27 18:59:57,30.52
2019/08/27 19:59:57,29.82
2019/08/27 20:59:57,29.17
2019/08/27 21:59:57,28.62
2019/08/27 22:59:57,28.22
2019/08/27 23:59:57,27.91
2019/08/28 00:59:57,27.69
2019/08/28 01:59:57,27.31
2019/08/28 02:59:57,26.88
2019/08/28 03:59:57,26.55
2019/08/28 04:59:57,26.48
2019/08/28 05:59:57,27.97
2019/08/28 06:59:57,30.39
2019/08/28 07:59:57,32.6
2019/08/28 08:59:57,33.72
2019/08/28 09:59:57,34.5
2019/08/28 10:59:57,35.12
2019/08/28 11:59:57,35.72
2019/08/28 12:59:57,36.05
2019/08/28 13:59:57,36.12
2019/08/28 14:59:57,35.83
2019/08/28 15:59:57,34.94
2019/08/28 16:59:57,33.44
2019/08/28 17:59:57,31.34
2019/08/28 18:59:57,30.59
2019/08/28 19:59:57,29.89
2019/08/28 20:59:57,29.26
2019/08/28 21:59:57,28.76
2019/08/28 22:59:57,28.37
2019/08/28 23:59:57,28.05
2019/08/29 00:59:57,27.78
2019/08/29 01:59:57,27.54
2019/08/29 02:59:57,27.33
2019/08/29 03:59:57,27.14
2019/08/29 04:59:57,27.03
2019/08/29 05:59:57,27.96
2019/08/29 06:59:57,30.32
2019/08/29 07:59:57,32.8
2019/08/29 08:59:57,34.2
2019/08/29 09:59:57,35.3
2019/08/29 10:59:57,35.84
2019/08/29 11:59:57,36.12
2019/08/29 12:59:57,36.01
2019/08/29 13:59:57,35.67
2019/08/29 14:59:57,35.09
2019/08/29 15:59:57,34.51
2019/08/29 16:59:57,33.19
2019/08/29 17:59:57,31.36
2019/08/29 18:59:57,30.76
2019/08/29 19:59:57,30.27
2019/08/29 20:59:57,29.7
